name,full_name,description,url,stars,forks,language,topics,created_at,updated_at
ML-From-Scratch,eriklindernoren/ML-From-Scratch,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,https://github.com/eriklindernoren/ML-From-Scratch,31411,5263,Python,"['data-mining', 'data-science', 'deep-learning', 'deep-reinforcement-learning', 'genetic-algorithm', 'machine-learning', 'machine-learning-from-scratch']",2017-02-05T12:11:23Z,2026-05-05T16:39:57Z
applied-ml,eugeneyan/applied-ml,📚 Papers & tech blogs by companies sharing their work on data science & machine learning in production.,https://github.com/eugeneyan/applied-ml,28797,3842,Unknown,"['applied-data-science', 'applied-machine-learning', 'computer-vision', 'data-discovery', 'data-engineering', 'data-quality', 'data-science', 'deep-learning', 'machine-learning', 'natural-language-processing', 'production', 'recsys', 'reinforcement-learning', 'search']",2020-07-04T18:57:47Z,2026-05-05T03:34:58Z
machine-learning-for-software-engineers,ZuzooVn/machine-learning-for-software-engineers,A complete daily plan for studying to become a machine learning engineer.,https://github.com/ZuzooVn/machine-learning-for-software-engineers,28763,6182,Unknown,"['artificial-intelligence', 'deep-learning', 'machine-learning', 'machine-learning-algorithms', 'software-engineer']",2016-10-09T21:20:25Z,2026-05-04T14:13:52Z
linkedin-skill-assessments-quizzes,Ebazhanov/linkedin-skill-assessments-quizzes,"Full reference of LinkedIn answers 2024 for skill assessments (aws-lambda, rest-api, javascript, react, git, html, jquery, mongodb, java, Go, python, machine-learning, power-point) linkedin excel test lösungen, linkedin machine learning test LinkedIn test questions and answers ",https://github.com/Ebazhanov/linkedin-skill-assessments-quizzes,28734,13014,Python,"['answers', 'assessment', 'english', 'exam', 'france', 'german', 'golang', 'hacktoberfest', 'hacktoberfest2020', 'hacktoberfest2021', 'hacktoberfest2022', 'hacktoberfest2023', 'hacktoberfest2024', 'hacktoberfest2025', 'linkedin', 'linkedin-questions', 'quiz', 'quiz-questions', 'skills']",2019-07-13T19:52:56Z,2026-05-05T14:06:37Z
shap,shap/shap,A game theoretic approach to explain the output of any machine learning model.,https://github.com/shap/shap,25380,3725,Jupyter Notebook,"['deep-learning', 'explainability', 'gradient-boosting', 'interpretability', 'machine-learning', 'shap', 'shapley']",2016-11-22T19:17:08Z,2026-05-05T15:08:07Z
homemade-machine-learning,trekhleb/homemade-machine-learning,🤖 Python examples of popular machine learning algorithms with interactive Jupyter demos and math being explained,https://github.com/trekhleb/homemade-machine-learning,24512,4172,Jupyter Notebook,"['algorithm', 'jupyter', 'jupyter-notebook', 'machine-learning', 'machine-learning-algorithms', 'machinelearning', 'python']",2018-11-01T04:34:19Z,2026-05-05T15:13:24Z
cs249r_book,harvard-edge/cs249r_book,Machine Learning Systems,https://github.com/harvard-edge/cs249r_book,24096,2888,Python,"['artificial-intelligence', 'cloud-ml', 'computer-systems', 'courseware', 'deep-learning', 'edge-machine-learning', 'embedded-ml', 'machine-learning', 'machine-learning-systems', 'mobile-ml', 'textbook', 'tinyml']",2023-09-06T19:31:06Z,2026-05-05T15:49:02Z
Paddle,PaddlePaddle/Paddle,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）,https://github.com/PaddlePaddle/Paddle,23873,5989,C++,"['deep-learning', 'distributed-training', 'efficiency', 'machine-learning', 'neural-network', 'paddlepaddle', 'python', 'scalability']",2016-08-15T06:59:08Z,2026-05-05T11:52:13Z
best-of-ml-python,lukasmasuch/best-of-ml-python,🏆 A ranked list of awesome machine learning Python libraries. Updated weekly.,https://github.com/lukasmasuch/best-of-ml-python,23458,3113,Unknown,"['automl', 'chatgpt', 'data-analysis', 'data-science', 'data-visualization', 'data-visualizations', 'deep-learning', 'gpt', 'gpt-3', 'jax', 'keras', 'machine-learning', 'ml', 'nlp', 'python', 'pytorch', 'scikit-learn', 'tensorflow', 'transformer']",2020-11-29T19:41:36Z,2026-05-05T16:30:09Z
C,TheAlgorithms/C,"Collection of various algorithms in mathematics, machine learning, computer science, physics, etc implemented in C for educational purposes.",https://github.com/TheAlgorithms/C,21998,4748,C,"['algorithm-challenges', 'algorithm-competitions', 'algorithms', 'c', 'community-driven', 'computer-science', 'data-structures', 'datastructures', 'education', 'educational', 'hacktoberfest', 'interview', 'interview-questions', 'learn-to-code', 'machine-learning', 'machine-learning-algorithms', 'mathematics', 'search', 'sort']",2016-07-16T10:17:03Z,2026-05-05T16:05:41Z
rasa,RasaHQ/rasa,"💬   Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management, connect to Slack, Facebook, and more - Create chatbots and voice assistants",https://github.com/RasaHQ/rasa,21148,4909,Python,"['bot', 'bot-framework', 'botkit', 'bots', 'chatbot', 'chatbots', 'chatbots-framework', 'conversation-driven-development', 'conversational-agents', 'conversational-ai', 'conversational-bots', 'machine-learning', 'machine-learning-library', 'mitie', 'natural-language-processing', 'nlp', 'nlu', 'rasa', 'spacy', 'wit']",2016-10-14T12:27:49Z,2026-05-05T11:11:15Z
onnx,onnx/onnx,Open standard for machine learning interoperability,https://github.com/onnx/onnx,20767,3925,Python,"['ai', 'artificial-intelligence', 'deep-learning', 'deep-neural-networks', 'dnn', 'keras', 'machine-learning', 'ml', 'neural-network', 'onnx', 'pytorch', 'scikit-learn', 'tensorflow']",2017-09-07T04:53:45Z,2026-05-05T13:44:03Z
awesome-production-machine-learning,EthicalML/awesome-production-machine-learning,"A curated list of awesome open source libraries to deploy, monitor, version and scale your machine learning",https://github.com/EthicalML/awesome-production-machine-learning,20492,2566,Unknown,"['awesome', 'awesome-list', 'data-mining', 'deep-learning', 'explainability', 'interpretability', 'large-scale-machine-learning', 'large-scale-ml', 'machine-learning', 'machine-learning-operations', 'ml-operations', 'ml-ops', 'mlops', 'privacy-preserving', 'privacy-preserving-machine-learning', 'privacy-preserving-ml', 'production-machine-learning', 'production-ml', 'responsible-ai']",2018-08-15T14:28:41Z,2026-05-04T15:27:19Z
video2x,k4yt3x/video2x,"A machine learning-based video super resolution and frame interpolation framework. Est. Hack the Valley II, 2018.",https://github.com/k4yt3x/video2x,19794,1731,C++,"['anime4k', 'frame-interpolation', 'machine-learning', 'neural-networks', 'realcugan', 'realesrgan', 'rife', 'super-resoluion', 'upscale-video', 'vulkan']",2018-02-24T16:34:41Z,2026-05-05T15:15:24Z
ml-agents,Unity-Technologies/ml-agents,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.,https://github.com/Unity-Technologies/ml-agents,19374,4446,C#,"['deep-learning', 'deep-reinforcement-learning', 'machine-learning', 'neural-networks', 'reinforcement-learning', 'unity', 'unity3d']",2017-09-08T21:09:04Z,2026-05-05T12:33:18Z
stanford-cs-229-machine-learning,afshinea/stanford-cs-229-machine-learning,VIP cheatsheets for Stanford's CS 229 Machine Learning,https://github.com/afshinea/stanford-cs-229-machine-learning,19371,4162,Unknown,"['cheatsheet', 'cs229', 'data-science', 'deep-learning', 'machine-learning', 'ml-cheatsheet', 'supervised-learning', 'unsupervised-learning']",2018-08-04T23:01:00Z,2026-05-05T07:41:00Z
LightGBM,lightgbm-org/LightGBM,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tasks.",https://github.com/lightgbm-org/LightGBM,18317,4012,C++,"['data-mining', 'decision-trees', 'distributed', 'gbdt', 'gbm', 'gbrt', 'gradient-boosting', 'kaggle', 'lightgbm', 'machine-learning', 'microsoft', 'parallel', 'python', 'r']",2016-08-05T05:45:50Z,2026-05-05T15:57:21Z
ml-engineering,stas00/ml-engineering,Machine Learning Engineering Open Book,https://github.com/stas00/ml-engineering,17855,1134,Python,"['ai', 'debugging', 'gpus', 'inference', 'large-language-models', 'llm', 'machine-learning', 'machine-learning-engineering', 'mlops', 'network', 'pytorch', 'scalability', 'slurm', 'storage', 'training', 'transformers']",2020-09-02T19:23:01Z,2026-05-05T12:26:55Z
Machine-Learning-Tutorials,ujjwalkarn/Machine-Learning-Tutorials,"machine learning and deep learning tutorials, articles and other resources ",https://github.com/ujjwalkarn/Machine-Learning-Tutorials,17786,3990,Unknown,"['awesome', 'awesome-list', 'deep-learning', 'deep-learning-tutorial', 'deep-neural-networks', 'deeplearning', 'list', 'machine-learning', 'machinelearning', 'neural-network', 'neural-networks']",2015-09-12T14:51:38Z,2026-05-05T09:04:52Z
ML-NLP,NLP-LOVE/ML-NLP,此项目是机器学习(Machine Learning)、深度学习(Deep Learning)、NLP面试中常考到的知识点和代码实现，也是作为一个算法工程师必会的理论基础知识。,https://github.com/NLP-LOVE/ML-NLP,17652,4636,Jupyter Notebook,"['deep-learning', 'machine-learning', 'nlp']",2019-07-05T12:49:53Z,2026-05-05T07:23:40Z
brpc,apache/brpc,"brpc is an Industrial-grade RPC framework using C++ Language, which is often used in high performance system such as Search, Storage, Machine learning, Advertisement, Recommendation etc. ""brpc"" means ""better RPC"".",https://github.com/apache/brpc,17500,4103,C++,['rpc'],2017-09-04T09:28:47Z,2026-05-05T14:43:02Z
machine-learning-for-trading,stefan-jansen/machine-learning-for-trading,"Code for Machine Learning for Algorithmic Trading, 2nd edition.",https://github.com/stefan-jansen/machine-learning-for-trading,17269,5118,Jupyter Notebook,"['artificial-intelligence', 'data-science', 'deep-learning', 'finance', 'investment', 'investment-strategies', 'machine-learning', 'ml4t-workflow', 'synthetic-data', 'trading', 'trading-agent', 'trading-strategies']",2018-05-09T12:33:08Z,2026-05-05T16:33:03Z
ML-YouTube-Courses,dair-ai/ML-YouTube-Courses,📺 Discover the latest machine learning / AI courses on YouTube.,https://github.com/dair-ai/ML-YouTube-Courses,17194,2104,Unknown,"['ai', 'data-science', 'deep-learning', 'machine-learning', 'natural-language-processing', 'nlp']",2021-06-25T09:39:16Z,2026-05-05T09:14:52Z
numpy-ml,ddbourgin/numpy-ml,"Machine learning, in numpy",https://github.com/ddbourgin/numpy-ml,16345,3766,Python,"['attention', 'bayesian-inference', 'gaussian-mixture-models', 'gaussian-processes', 'good-turing-smoothing', 'gradient-boosting', 'hidden-markov-models', 'knn', 'lstm', 'machine-learning', 'mfcc', 'neural-networks', 'reinforcement-learning', 'resnet', 'topic-modeling', 'vae', 'wavenet', 'wgan-gp', 'word2vec']",2019-04-06T22:29:49Z,2026-05-05T00:00:10Z
transformers.js,huggingface/transformers.js,"State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!",https://github.com/huggingface/transformers.js,15959,1133,JavaScript,"['browser', 'javascript', 'transformers', 'webml']",2023-02-13T13:51:45Z,2026-05-05T13:34:21Z
cvat,cvat-ai/cvat,"Annotate better with CVAT, the industry-leading data engine for machine learning. Used and trusted by teams at any scale, for data of any scale.",https://github.com/cvat-ai/cvat,15764,3664,Python,"['annotation', 'annotation-tool', 'annotations', 'boundingbox', 'computer-vision', 'computer-vision-annotation', 'dataset', 'deep-learning', 'image-annotation', 'image-classification', 'image-labeling', 'image-labelling-tool', 'imagenet', 'labeling', 'labeling-tool', 'object-detection', 'pytorch', 'semantic-segmentation', 'tensorflow', 'video-annotation']",2018-06-29T14:02:45Z,2026-05-05T12:46:46Z
kubeflow,kubeflow/kubeflow,Machine Learning Toolkit for Kubernetes,https://github.com/kubeflow/kubeflow,15622,2647,Unknown,"['google-kubernetes-engine', 'jupyter', 'kubeflow', 'kubernetes', 'machine-learning', 'minikube', 'ml', 'notebook', 'tensorflow']",2017-11-30T18:44:19Z,2026-05-05T13:57:05Z
mml-book.github.io,mml-book/mml-book.github.io,"Companion webpage to the book ""Mathematics For Machine Learning""",https://github.com/mml-book/mml-book.github.io,15448,2776,Jupyter Notebook,[],2017-12-08T10:52:21Z,2026-05-05T09:22:59Z
cheatsheets-ai,kailashahirwar/cheatsheets-ai,Essential Cheat Sheets for deep learning and machine learning researchers https://medium.com/@kailashahirwar/essential-cheat-sheets-for-machine-learning-and-deep-learning-researchers-efb6a8ebd2e5,https://github.com/kailashahirwar/cheatsheets-ai,15405,3400,Unknown,"['artificial-intelligence', 'deep-learning', 'keras', 'machine-learning', 'matplotlib', 'numpy', 'scipy']",2017-05-24T12:06:56Z,2026-05-05T00:01:42Z
Qix,ty4z2008/Qix,Machine Learning、Deep Learning、PostgreSQL、Distributed System、Node.Js、Golang,https://github.com/ty4z2008/Qix,15104,4601,Unknown,"['awesome', 'deep-learning', 'distributed-computing', 'distributed-database', 'distributed-systems', 'go', 'machine-learning', 'postgresql']",2014-04-20T11:03:15Z,2026-05-05T13:10:48Z
imgaug,aleju/imgaug,Image augmentation for machine learning experiments.,https://github.com/aleju/imgaug,14738,2455,Python,"['affine-transformation', 'augment-images', 'augmentation', 'bounding-boxes', 'contrast', 'crop', 'deep-learning', 'heatmap', 'image-augmentation', 'images', 'keypoints', 'machine-learning', 'polygon', 'segmentation-maps']",2015-07-10T20:31:33Z,2026-05-05T10:00:38Z
